42.9,2.1474e-07,42.9,2.0768e-07,42.9,1.9991e-07,42.9,1.9604e-07
43,2.1531e-07,43,2.0813e-07,43,2.0024e-07,43,1.9632e-07
43.1,2.1588e-07,43.1,2.0858e-07,43.1,2.0057e-07,43.1,1.9659e-07
43.2,2.1647e-07,43.2,2.0905e-07,43.2,2.0091e-07,43.2,1.9687e-07
43.3,2.1706e-07,43.3,2.0952e-07,43.3,2.0125e-07,43.3,1.9715e-07
43.4,2.1767e-07,43.4,2.0999e-07,43.4,2.016e-07,43.4,1.9744e-07
43.5,2.1828e-07,43.5,2.1047e-07,43.5,2.0195e-07,43.5,1.9773e-07
43.6,2.189e-07,43.6,2.1096e-07,43.6,2.0231e-07,43.6,1.9802e-07
43.7,2.1953e-07,43.7,2.1146e-07,43.7,2.0267e-07,43.7,1.9832e-07
43.8,2.2017e-07,43.8,2.1196e-07,43.8,2.0303e-07,43.8,1.9862e-07
43.9,2.2082e-07,43.9,2.1247e-07,43.9,2.034e-07,43.9,1.9892e-07
44,2.2148e-07,44,2.1299e-07,44,2.0377e-07,44,1.9923e-07
44.1,2.2215e-07,44.1,2.1352e-07,44.1,2.0415e-07,44.1,1.9954e-07
44.2,2.2283e-07,44.2,2.1405e-07,44.2,2.0454e-07,44.2,1.9985e-07
44.3,2.2352e-07,44.3,2.1459e-07,44.3,2.0493e-07,44.3,2.0017e-07
44.4,2.2422e-07,44.4,2.1514e-07,44.4,2.0532e-07,44.4,2.005e-07
44.5,2.2493e-07,44.5,2.1569e-07,44.5,2.0572e-07,44.5,2.0082e-07
44.6,2.2565e-07,44.6,2.1626e-07,44.6,2.0612e-07,44.6,2.0115e-07
44.7,2.2638e-07,44.7,2.1683e-07,44.7,2.0653e-07,44.7,2.0149e-07
44.8,2.2713e-07,44.8,2.1741e-07,44.8,2.0695e-07,44.8,2.0183e-07
44.9,2.2789e-07,44.9,2.1799e-07,44.9,2.0737e-07,44.9,2.0217e-07
45,2.2866e-07,45,2.1859e-07,45,2.0779e-07,45,2.0252e-07
45.1,2.2944e-07,45.1,2.192e-07,45.1,2.0822e-07,45.1,2.0287e-07
45.2,2.3023e-07,45.2,2.1981e-07,45.2,2.0866e-07,45.2,2.0323e-07
45.3,2.3104e-07,45.3,2.2043e-07,45.3,2.091e-07,45.3,2.0359e-07
